dataset,method,search_best_val_accuracy,retrain_best_val_accuracy,final_test_accuracy,total_time_sec,num_params
CIFAR10,manual_search,0.798,0.8514,0.8482,274.55377984046936,2198602
CIFAR10,random_search,0.8166,0.8486,0.8449,1177.095618724823,1096586
CIFAR10,ga,0.8178,0.8516,0.8406,1315.222363948822,650442
CIFAR10,harmony_search,0.774,0.8224,0.8161,834.7647109031677,2450026
CIFAR10,aco,0.7922,0.8146,0.8109,817.8084540367126,266522
CIFAR10,pso,0.7984,0.7414,0.7373,919.2642402648926,1164490
CIFAR100,ga,0.4432,0.5154,0.5189,1282.7353966236115,662052
CIFAR100,random_search,0.4094,0.468,0.468,1175.63632273674,2461636
CIFAR100,harmony_search,0.4034,0.468,0.468,930.648234128952,2461636
CIFAR100,manual_search,0.4288,0.4726,0.4666,273.9730954170227,1140484
CIFAR100,aco,0.3652,0.4278,0.4308,888.5075957775116,272372
CIFAR100,pso,0.3138,0.3778,0.372,1079.8312838077545,650404
FashionMNIST,manual_search,0.9365,0.9453333333333334,0.9383,361.53205013275146,1738698
FashionMNIST,ga,0.9321666666666668,0.9416666666666667,0.9331,1126.8449823856354,271626
FashionMNIST,random_search,0.9328333333333332,0.9345,0.9313,1365.5608727931976,1644874
FashionMNIST,harmony_search,0.9341666666666668,0.9351666666666667,0.9305,979.8889939785004,548490
FashionMNIST,aco,0.9261666666666668,0.9303333333333333,0.9202,751.1607487201691,289770
FashionMNIST,pso,0.9196666666666666,0.9161666666666667,0.918,603.7296929359436,1618154
