epoch,train_loss,train_acc,val_loss,val_acc,dataset,method
1,0.35730478131329574,0.8702962962962963,0.25242352875073754,0.9101666666666667,FashionMNIST,harmony_search
2,0.21547265809332883,0.9212407407407407,0.23007973154385886,0.9166666666666666,FashionMNIST,harmony_search
3,0.16309262075689104,0.9388518518518518,0.20730119517197212,0.9273333333333333,FashionMNIST,harmony_search
4,0.120398297212673,0.9558148148148148,0.2225003426646193,0.9211666666666667,FashionMNIST,harmony_search
5,0.08581658085559805,0.9677037037037037,0.24066976414372523,0.9236666666666666,FashionMNIST,harmony_search
6,0.06159296248359951,0.9773888888888889,0.2978426627004519,0.9203333333333333,FashionMNIST,harmony_search
7,0.048041859562232815,0.9829629629629629,0.3108217504247247,0.9221666666666667,FashionMNIST,harmony_search
8,0.03614674885309823,0.9872407407407408,0.33265192804904653,0.9208333333333333,FashionMNIST,harmony_search
9,0.033261444653781065,0.988462962962963,0.4156520373603756,0.923,FashionMNIST,harmony_search
10,0.03153823313119507,0.9890925925925926,0.4411877771303698,0.9183333333333333,FashionMNIST,harmony_search
11,0.02589303849627086,0.9911666666666666,0.4915688244609337,0.9211666666666667,FashionMNIST,harmony_search
12,0.02394407552148496,0.9921851851851852,0.556093464683848,0.918,FashionMNIST,harmony_search
13,0.024014891367458976,0.9916666666666667,0.5061173582188567,0.9216666666666666,FashionMNIST,harmony_search
14,0.019273839850737846,0.9933703703703703,0.4965958700096356,0.9206666666666666,FashionMNIST,harmony_search
15,0.019310633582323572,0.9933703703703703,0.5252751027161867,0.9221666666666667,FashionMNIST,harmony_search
16,0.019601838752120168,0.9935185185185185,0.5443788851851544,0.923,FashionMNIST,harmony_search
17,0.020631941584716162,0.9931481481481481,0.5654350512022012,0.9233333333333333,FashionMNIST,harmony_search
18,0.01685864565471463,0.9945555555555555,0.5255061009996086,0.9231666666666667,FashionMNIST,harmony_search
19,0.019605789800963686,0.9945,0.5766868239458078,0.923,FashionMNIST,harmony_search
20,0.016554473097072,0.9949074074074075,0.6033930104601665,0.9228333333333333,FashionMNIST,harmony_search
1,0.422535384716811,0.8479444444444444,0.30967197608947755,0.8823333333333333,FashionMNIST,pso
2,0.25714483679223943,0.9066481481481482,0.24400534788767497,0.9091666666666667,FashionMNIST,pso
3,0.20819902333506832,0.9224259259259259,0.2297905157804489,0.9143333333333333,FashionMNIST,pso
4,0.17174662661552428,0.9358518518518518,0.20544804616769155,0.9258333333333333,FashionMNIST,pso
5,0.14503643487338666,0.9461851851851852,0.22540367563565572,0.9235,FashionMNIST,pso
6,0.12107202653531675,0.9545925925925925,0.20460468916098276,0.928,FashionMNIST,pso
7,0.09992974523261741,0.962574074074074,0.21577833489576975,0.9273333333333333,FashionMNIST,pso
8,0.08404720719876113,0.9685185185185186,0.23118859485785168,0.9265,FashionMNIST,pso
9,0.07114408557944828,0.9732592592592593,0.25477133959531784,0.9286666666666666,FashionMNIST,pso
10,0.06200165624971743,0.9773888888888889,0.2477783453464508,0.929,FashionMNIST,pso
11,0.05251914913566024,0.9799814814814815,0.27465461365381877,0.9256666666666666,FashionMNIST,pso
12,0.04699236845970154,0.9830740740740741,0.2758748912413915,0.9296666666666666,FashionMNIST,pso
13,0.04147295044086598,0.984537037037037,0.2943029461304347,0.9293333333333333,FashionMNIST,pso
14,0.039150059188405674,0.985462962962963,0.303289604306221,0.9286666666666666,FashionMNIST,pso
15,0.03452383167462216,0.9877592592592592,0.30386639750003813,0.928,FashionMNIST,pso
16,0.038445528730198186,0.9863333333333333,0.31136806746323903,0.9303333333333333,FashionMNIST,pso
17,0.03016746434431385,0.9891111111111112,0.3472945888439814,0.9283333333333333,FashionMNIST,pso
18,0.02821767494213526,0.989537037037037,0.33515101929505664,0.9291666666666667,FashionMNIST,pso
19,0.029491169872935173,0.9899074074074075,0.33144568268458047,0.9271666666666667,FashionMNIST,pso
20,0.025597199528857514,0.9909074074074075,0.35160895574092865,0.932,FashionMNIST,pso
1,0.3722037185165617,0.8660925925925926,0.2735974566737811,0.8978333333333334,FashionMNIST,random_search
2,0.2302082581906407,0.9162592592592592,0.23542735201617082,0.9118333333333334,FashionMNIST,random_search
3,0.1818378442056753,0.932,0.2253120870490869,0.917,FashionMNIST,random_search
4,0.14445782036382568,0.945925925925926,0.22729456309601664,0.9253333333333333,FashionMNIST,random_search
5,0.1138898453817151,0.9574074074074074,0.23380559560656547,0.9201666666666667,FashionMNIST,random_search
6,0.09236674140869744,0.9659074074074074,0.2439008283857256,0.9248333333333333,FashionMNIST,random_search
7,0.07368973519039099,0.9726111111111111,0.26253647640782096,0.9276666666666666,FashionMNIST,random_search
8,0.05946490813700344,0.9784074074074074,0.2858170180854698,0.9236666666666666,FashionMNIST,random_search
9,0.05120555601000389,0.9816851851851852,0.3559908942705758,0.9221666666666667,FashionMNIST,random_search
10,0.043923091379076205,0.9839259259259259,0.32745486647076905,0.9273333333333333,FashionMNIST,random_search
11,0.038756352434026434,0.9858333333333333,0.3819911088544953,0.9203333333333333,FashionMNIST,random_search
12,0.03804137001365005,0.9860185185185185,0.40557926392440763,0.9253333333333333,FashionMNIST,random_search
13,0.03210650812845173,0.9888148148148148,0.41105765947765516,0.9236666666666666,FashionMNIST,random_search
14,0.031684961170145944,0.9887037037037038,0.41487394975955977,0.9243333333333333,FashionMNIST,random_search
15,0.03070434098987877,0.9892962962962963,0.53676391419052,0.9225,FashionMNIST,random_search
16,0.027493056482767755,0.9904074074074074,0.4939405896728373,0.9151666666666667,FashionMNIST,random_search
17,0.02463378479632687,0.991537037037037,0.48623397238506005,0.9235,FashionMNIST,random_search
18,0.02818219201341346,0.9904444444444445,0.484928263517649,0.921,FashionMNIST,random_search
19,0.025074953201060166,0.992037037037037,0.4836354667462862,0.9223333333333333,FashionMNIST,random_search
20,0.02580532702309884,0.991537037037037,0.5906752108700942,0.915,FashionMNIST,random_search
1,0.4648494240089699,0.829,0.30819117959340414,0.8915,FashionMNIST,aco
2,0.29392716581070866,0.8936481481481482,0.252179610311985,0.9065,FashionMNIST,aco
3,0.2507839832548742,0.9088888888888889,0.2422344625691573,0.9061666666666667,FashionMNIST,aco
4,0.2213520216351306,0.919962962962963,0.2175898812363545,0.9208333333333333,FashionMNIST,aco
5,0.20116515465301496,0.925962962962963,0.20721579399704934,0.9238333333333333,FashionMNIST,aco
6,0.18303824220763312,0.9317777777777778,0.2145375762283802,0.9276666666666666,FashionMNIST,aco
7,0.16760744638851396,0.9383148148148148,0.21100161634882292,0.9276666666666666,FashionMNIST,aco
8,0.15326406355091818,0.9428518518518518,0.19876721276342868,0.9278333333333333,FashionMNIST,aco
9,0.14388459538833961,0.9468333333333333,0.21146261588980755,0.9333333333333333,FashionMNIST,aco
10,0.1313848529793322,0.9506851851851852,0.216973493212834,0.9276666666666666,FashionMNIST,aco
11,0.1244113730829968,0.9533333333333334,0.20781946445753177,0.931,FashionMNIST,aco
12,0.11563195569744264,0.9567222222222223,0.22514906826615333,0.9238333333333333,FashionMNIST,aco
13,0.11172992760794996,0.9576481481481481,0.23486223766952752,0.928,FashionMNIST,aco
14,0.10398194930540329,0.9607777777777777,0.22342142337855572,0.9325,FashionMNIST,aco
15,0.1009466932647758,0.9619814814814814,0.24068190863899266,0.9298333333333333,FashionMNIST,aco
16,0.09530565229661901,0.9646481481481481,0.241973139010525,0.9328333333333333,FashionMNIST,aco
17,0.09219279275883714,0.9662592592592593,0.2400427965009585,0.9316666666666666,FashionMNIST,aco
18,0.09081744516237328,0.9660185185185185,0.2352279826683613,0.9308333333333333,FashionMNIST,aco
19,0.08495761956967396,0.9683518518518518,0.27272593139236173,0.9311666666666667,FashionMNIST,aco
20,0.08167315107568478,0.9698888888888889,0.2859440318044896,0.932,FashionMNIST,aco
1,0.5064838729434543,0.8188518518518518,0.3287650301059087,0.8795,FashionMNIST,ga
2,0.3295474901640857,0.881537037037037,0.2767526908318202,0.8998333333333334,FashionMNIST,ga
3,0.28123708739987124,0.8981481481481481,0.25746598541736604,0.9046666666666666,FashionMNIST,ga
4,0.24751144420217586,0.9090925925925926,0.23667723925908407,0.9126666666666666,FashionMNIST,ga
5,0.22560058845414055,0.9175185185185185,0.21970950730641683,0.922,FashionMNIST,ga
6,0.2056771455694128,0.9243333333333333,0.21727219470342,0.923,FashionMNIST,ga
7,0.1891450760320381,0.9304814814814815,0.20365287937720616,0.924,FashionMNIST,ga
8,0.1753439175685247,0.9345740740740741,0.19624232168992362,0.9291666666666667,FashionMNIST,ga
9,0.160404311924069,0.9395925925925926,0.1940716719031334,0.9305,FashionMNIST,ga
10,0.15080243840040983,0.943037037037037,0.19258648010094961,0.9308333333333333,FashionMNIST,ga
11,0.1414410158506146,0.9472407407407407,0.19296880755821863,0.9311666666666667,FashionMNIST,ga
12,0.13091408123793424,0.951,0.19837236313025156,0.9295,FashionMNIST,ga
13,0.12237858855945093,0.9541851851851851,0.1878835566242536,0.9306666666666666,FashionMNIST,ga
14,0.11655269612868627,0.9565925925925925,0.1876896827220917,0.9356666666666666,FashionMNIST,ga
15,0.10882458013516885,0.958925925925926,0.20125733784834543,0.9291666666666667,FashionMNIST,ga
16,0.10053865948209056,0.9619074074074074,0.20854415698846182,0.9323333333333333,FashionMNIST,ga
17,0.09444557544257906,0.9649074074074074,0.200301915148894,0.9365,FashionMNIST,ga
18,0.09015013243478757,0.9658148148148148,0.19421115255355834,0.935,FashionMNIST,ga
19,0.08502394283590493,0.9683148148148149,0.2022410883506139,0.934,FashionMNIST,ga
20,0.08295436868954588,0.9683888888888889,0.20260159436861674,0.934,FashionMNIST,ga
1,0.4283907087025819,0.8442037037037037,0.2968347893158595,0.8935,FashionMNIST,manual_search
2,0.2799477036429776,0.897074074074074,0.2587633543908596,0.9068333333333334,FashionMNIST,manual_search
3,0.23852424349829002,0.9115925925925926,0.2381830812295278,0.913,FashionMNIST,manual_search
4,0.20561564768464477,0.9228888888888889,0.21925915155808132,0.9193333333333333,FashionMNIST,manual_search
5,0.18017965012236878,0.9328888888888889,0.2222457179427147,0.9201666666666667,FashionMNIST,manual_search
6,0.16004999767437025,0.9396851851851852,0.22504568010816972,0.9203333333333333,FashionMNIST,manual_search
7,0.14046116735896577,0.9472962962962963,0.24235724179446697,0.917,FashionMNIST,manual_search
8,0.12668399100999037,0.9519814814814814,0.25178989343593516,0.9208333333333333,FashionMNIST,manual_search
9,0.11317582266032696,0.9574259259259259,0.24999237322310608,0.9173333333333333,FashionMNIST,manual_search
10,0.10060897462408024,0.9621111111111111,0.2427846671640873,0.9235,FashionMNIST,manual_search
11,0.09408834673540184,0.9641666666666666,0.25121684732784827,0.924,FashionMNIST,manual_search
12,0.08288869985041243,0.9683888888888889,0.2842368800130983,0.9223333333333333,FashionMNIST,manual_search
13,0.0816004816731783,0.9691851851851851,0.2725651705861092,0.9255,FashionMNIST,manual_search
14,0.07347968423580406,0.972462962962963,0.2669012541460494,0.9275,FashionMNIST,manual_search
15,0.06934148960401891,0.9738333333333333,0.27563037698653836,0.9285,FashionMNIST,manual_search
16,0.06427999621931532,0.9756851851851852,0.29591566980412853,0.9268333333333333,FashionMNIST,manual_search
17,0.06266068989262674,0.9766481481481482,0.29480853873770685,0.922,FashionMNIST,manual_search
18,0.05740843377604701,0.9788888888888889,0.3423176248728608,0.9266666666666666,FashionMNIST,manual_search
19,0.05541665691232602,0.979037037037037,0.32118313649087216,0.927,FashionMNIST,manual_search
20,0.050996449123660026,0.9813333333333333,0.3356222406314531,0.9288333333333333,FashionMNIST,manual_search
1,1.709823958799574,0.3678222222222222,1.393067066001892,0.5012,CIFAR10,ga
2,1.2395511601554023,0.5485777777777778,1.1267268127441405,0.5942,CIFAR10,ga
3,1.024751910495758,0.6368,0.9907861953735352,0.651,CIFAR10,ga
4,0.8849679892010159,0.6880444444444445,0.8127692729949951,0.7132,CIFAR10,ga
5,0.7814428732766046,0.7265333333333334,0.7341994160652161,0.742,CIFAR10,ga
6,0.7023600100517273,0.7543333333333333,0.7026900740623474,0.7548,CIFAR10,ga
7,0.6440035425504048,0.7743111111111111,0.673372271156311,0.7606,CIFAR10,ga
8,0.5857014648861355,0.7932222222222223,0.6432397375106812,0.7738,CIFAR10,ga
9,0.5398762643867069,0.8105111111111111,0.6122801607131958,0.7874,CIFAR10,ga
10,0.49674184835222035,0.8250444444444445,0.6246336605072021,0.781,CIFAR10,ga
11,0.45016397955152726,0.84,0.6052128688812256,0.7954,CIFAR10,ga
12,0.4129198915746477,0.8527777777777777,0.6357163999557495,0.7916,CIFAR10,ga
13,0.3842663324832916,0.8609777777777777,0.6013677315235137,0.7968,CIFAR10,ga
14,0.35675028381877477,0.8726888888888888,0.6189428534030914,0.7932,CIFAR10,ga
15,0.3271169492933485,0.8837777777777778,0.629913281917572,0.796,CIFAR10,ga
16,0.30775115898152194,0.8877333333333334,0.6232473373413085,0.8022,CIFAR10,ga
17,0.279992675836881,0.8994444444444445,0.6588849999427795,0.8042,CIFAR10,ga
18,0.26577731637424895,0.9033555555555556,0.6639609533786773,0.8026,CIFAR10,ga
19,0.24691912735866176,0.9115777777777778,0.6865017813682556,0.803,CIFAR10,ga
20,0.23622175765037537,0.9158666666666667,0.6791670682430268,0.8104,CIFAR10,ga
1,1.6513693281597561,0.3949111111111111,1.3615561445236206,0.5136,CIFAR10,aco
2,1.2522957759433322,0.5486,1.1107513419151307,0.5978,CIFAR10,aco
3,1.0537716923713685,0.6255555555555555,1.0337901710510253,0.6354,CIFAR10,aco
4,0.9315650943756103,0.6689555555555555,0.8705750093460083,0.6912,CIFAR10,aco
5,0.8322043065177069,0.7049777777777778,0.7799520743370056,0.7224,CIFAR10,aco
6,0.7509486170026991,0.7366222222222222,0.7401028970718384,0.742,CIFAR10,aco
7,0.6828195262061225,0.7586444444444445,0.7259983075141907,0.7392,CIFAR10,aco
8,0.6337795819600424,0.7748444444444444,0.6726113561630249,0.7648,CIFAR10,aco
9,0.5780465621842278,0.7953111111111111,0.6774212090492249,0.7614,CIFAR10,aco
10,0.5280985593265958,0.8121111111111111,0.6696959545612335,0.7698,CIFAR10,aco
11,0.4883586028893789,0.8271777777777778,0.6967413366794586,0.7694,CIFAR10,aco
12,0.45484815380308363,0.8357777777777777,0.6562522067546844,0.7762,CIFAR10,aco
13,0.42255380789438884,0.8478888888888889,0.6489843215703964,0.7812,CIFAR10,aco
14,0.3889946397781372,0.8598,0.6689620771884918,0.7788,CIFAR10,aco
15,0.356565227593316,0.8718222222222223,0.6674592137217522,0.7796,CIFAR10,aco
16,0.3366083023283217,0.8773333333333333,0.707858151602745,0.7804,CIFAR10,aco
17,0.311683936659495,0.8863333333333333,0.6981376625657082,0.7866,CIFAR10,aco
18,0.3033623599661721,0.8919111111111111,0.697248262500763,0.7856,CIFAR10,aco
19,0.2893676081445482,0.8941111111111111,0.7050837906241417,0.7878,CIFAR10,aco
20,0.2792152604871326,0.8984666666666666,0.7345669579625129,0.781,CIFAR10,aco
1,1.5239485017776488,0.4454222222222222,1.2160623207092285,0.57,CIFAR10,random_search
2,1.2073698365741306,0.5678888888888889,1.1153439823150635,0.6138,CIFAR10,random_search
3,1.0672503395716348,0.6179555555555556,0.9829134179115295,0.651,CIFAR10,random_search
4,0.9785852048026191,0.6524444444444445,0.9339046569824219,0.6704,CIFAR10,random_search
5,0.904014257007175,0.6766444444444445,0.9057191983222962,0.6836,CIFAR10,random_search
6,0.8421217184808519,0.6994222222222222,0.8961639042854309,0.6846,CIFAR10,random_search
7,0.7981221174134149,0.7139555555555556,0.8854202172279358,0.688,CIFAR10,random_search
8,0.7539610524707371,0.7299777777777777,0.8979746925354004,0.6866,CIFAR10,random_search
9,0.7065310101985931,0.7461333333333333,0.8914086510658265,0.689,CIFAR10,random_search
10,0.6797911634975009,0.7549333333333333,0.8855062407493591,0.7066,CIFAR10,random_search
11,0.6474166443824768,0.7669111111111111,0.8963893384933471,0.7006,CIFAR10,random_search
12,0.623523779159122,0.7722222222222223,0.9269953719139099,0.6948,CIFAR10,random_search
13,0.5905894775284661,0.7857333333333333,0.9084228612899781,0.7012,CIFAR10,random_search
14,0.564329324330224,0.7946,0.9402309385299683,0.6972,CIFAR10,random_search
15,0.5493272249857585,0.8002444444444444,0.8940887191772461,0.702,CIFAR10,random_search
16,0.5210518451213837,0.8086444444444445,0.9389548400878907,0.6988,CIFAR10,random_search
17,0.5141021903779771,0.8115111111111111,0.964252445602417,0.698,CIFAR10,random_search
18,0.4913716735018624,0.8194,0.9642006796836853,0.6954,CIFAR10,random_search
19,0.4786299606296751,0.8243555555555555,0.9735662593841553,0.7026,CIFAR10,random_search
20,0.4634990315437317,0.8307555555555556,0.9762932351112366,0.7042,CIFAR10,random_search
1,1.828685781733195,0.3008888888888889,1.4780986347198486,0.4422,CIFAR10,manual_search
2,1.4502310291290283,0.46795555555555557,1.2166260482788085,0.5628,CIFAR10,manual_search
3,1.2564332363764446,0.5472222222222223,1.0568911432266235,0.6204,CIFAR10,manual_search
4,1.1370393355581496,0.5922444444444445,0.9761019750595092,0.6416,CIFAR10,manual_search
5,1.0519895260281034,0.6259333333333333,0.8960102071762085,0.6828,CIFAR10,manual_search
6,0.9908534753375583,0.6517777777777778,0.9518132478713989,0.6724,CIFAR10,manual_search
7,0.9418700893667009,0.6698,0.8345765321731567,0.7038,CIFAR10,manual_search
8,0.9020234174940321,0.6854444444444444,0.7563991503715515,0.7332,CIFAR10,manual_search
9,0.8676462384223937,0.6974,0.7710634800910949,0.7254,CIFAR10,manual_search
10,0.8350117084927029,0.7087777777777777,0.7274270985603333,0.7416,CIFAR10,manual_search
