dataset,method,search_best_val_accuracy,search_test_accuracy,retrain_best_val_accuracy,final_test_accuracy,final_test_loss,num_params
CIFAR10,manual_search,0.798,0.7947,0.8514,0.8482,0.45242964148521425,2198602
CIFAR10,random_search,0.8166,0.8079,0.8486,0.8449,0.49471062626838685,1096586
CIFAR10,ga,0.8178,0.8095,0.8516,0.8406,0.4824487172603607,650442
CIFAR10,harmony_search,0.774,0.7775,0.8224,0.8161,0.5385658987998962,2450026
CIFAR10,aco,0.7922,0.7899,0.8146,0.8109,0.6359760571956634,266522
CIFAR10,pso,0.7984,0.7834,0.7414,0.7373,0.7632524664878845,1164490
CIFAR100,ga,0.4432,0.4501,0.5154,0.5189,1.7633612672805785,662052
CIFAR100,random_search,0.4094,0.4147,0.468,0.468,1.9841937873840332,2461636
CIFAR100,harmony_search,0.4034,0.4123,0.468,0.468,1.9841937873840332,2461636
CIFAR100,manual_search,0.4288,0.4328,0.4726,0.4666,1.9766538146972656,1140484
CIFAR100,aco,0.3652,0.3732,0.4278,0.4308,2.163978300857544,272372
CIFAR100,pso,0.3138,0.3075,0.3778,0.372,2.386612818145752,650404
FashionMNIST,manual_search,0.9365,0.9251,0.9453333333333334,0.9383,0.18144189729690552,1738698
FashionMNIST,ga,0.9321666666666668,0.9276,0.9416666666666667,0.9331,0.18619145888090133,271626
FashionMNIST,random_search,0.9328333333333332,0.9303,0.9345,0.9313,0.22173907810598611,1644874
FashionMNIST,harmony_search,0.9341666666666668,0.928,0.9351666666666667,0.9305,0.26649077460952103,548490
FashionMNIST,aco,0.9261666666666668,0.9183,0.9303333333333333,0.9202,0.22261930561065674,289770
FashionMNIST,pso,0.9196666666666666,0.9152,0.9161666666666667,0.918,0.23364358867406845,1618154
