dataset,method,search_best_val_accuracy,retrain_best_val_accuracy,final_test_accuracy,total_time_sec,num_params
CIFAR10,random_search,0.8168,0.861,0.8526,2917.2694890499115,754602
CIFAR10,manual_search,0.798,0.8514,0.8482,289.5068562030792,2198602
CIFAR10,aco,0.814,0.8528,0.8475,2369.052137851715,1888042
CIFAR10,ga,0.8284,0.8546,0.8472,3979.7567982673645,1162826
CIFAR10,harmony_search,0.8296,0.8438,0.8415,2727.9115331172943,405034
CIFAR10,pso,0.7984,0.7414,0.7373,2212.886194705963,1164490
CIFAR100,ga,0.5022,0.5578,0.5587,4320.230853796005,1318436
CIFAR100,harmony_search,0.4656,0.5102,0.5181,2748.006732940674,867524
CIFAR100,aco,0.488,0.5018,0.5031,2688.8176658153534,1387300
CIFAR100,pso,0.4816,0.4816,0.4761,3889.935693025589,1187620
CIFAR100,manual_search,0.4288,0.4726,0.4666,285.6795644760132,1140484
CIFAR100,random_search,0.499,0.3974,0.3879,2932.448144197464,2664068
FashionMNIST,manual_search,0.9365,0.9453333333333334,0.9383,283.64937257766724,1738698
FashionMNIST,random_search,0.9388333333333332,0.9446666666666667,0.9379,3061.67129611969,639338
FashionMNIST,aco,0.9383333333333334,0.9425,0.9354,2283.2311820983887,871018
FashionMNIST,ga,0.939,0.9398333333333333,0.933,3080.9620912075043,469898
FashionMNIST,harmony_search,0.9383333333333334,0.9388333333333333,0.9314,2610.1094813346863,469898
FashionMNIST,pso,0.9198333333333332,0.918,0.9146,1504.5248093605042,1618154
