dataset,method,search_best_val_accuracy,search_test_accuracy,retrain_best_val_accuracy,final_test_accuracy,final_test_loss,num_params
CIFAR10,random_search,0.8168,0.8064,0.861,0.8526,0.44236557703018187,754602
CIFAR10,manual_search,0.798,0.7947,0.8514,0.8482,0.45242964148521425,2198602
CIFAR10,aco,0.814,0.8137,0.8528,0.8475,0.5097853416085243,1888042
CIFAR10,ga,0.8284,0.8221,0.8546,0.8472,0.47218505306243896,1162826
CIFAR10,harmony_search,0.8296,0.8278,0.8438,0.8415,0.514682324886322,405034
CIFAR10,pso,0.7984,0.7834,0.7414,0.7373,0.7632524664878845,1164490
CIFAR100,ga,0.5022,0.5051,0.5578,0.5587,1.629763154220581,1318436
CIFAR100,harmony_search,0.4656,0.4761,0.5102,0.5181,1.811018716621399,867524
CIFAR100,aco,0.488,0.4876,0.5018,0.5031,2.0430408697128297,1387300
CIFAR100,pso,0.4816,0.4718,0.4816,0.4761,2.0351541328430174,1187620
CIFAR100,manual_search,0.4288,0.4328,0.4726,0.4666,1.9766538146972656,1140484
CIFAR100,random_search,0.499,0.5075,0.3974,0.3879,2.4975217964172365,2664068
FashionMNIST,manual_search,0.9365,0.9251,0.9453333333333334,0.9383,0.18144189729690552,1738698
FashionMNIST,random_search,0.9388333333333332,0.9278,0.9446666666666667,0.9379,0.17994761798381806,639338
FashionMNIST,aco,0.9383333333333334,0.9333,0.9425,0.9354,0.20675089258849622,871018
FashionMNIST,ga,0.939,0.9327,0.9398333333333333,0.933,0.22418166324160993,469898
FashionMNIST,harmony_search,0.9383333333333334,0.9318,0.9388333333333333,0.9314,0.2713351562380791,469898
FashionMNIST,pso,0.9198333333333332,0.9148,0.918,0.9146,0.2589512646317482,1618154
