method,best_val_accuracy,test_accuracy_at_best,iteration_of_best,time_of_best_sec,total_time_sec,dataset
ga,0.939,0.9327,43,2526.8066477775574,3080.9620912075043,FashionMNIST
random_search,0.9388333333333332,0.9278,37,2318.492208480835,3061.67129611969,FashionMNIST
aco,0.9383333333333334,0.9333,45,1994.9776175022125,2283.2311820983887,FashionMNIST
harmony_search,0.9383333333333334,0.9318,50,2610.1094813346863,2610.1094813346863,FashionMNIST
manual_search,0.9365,0.9251,4,218.67406964302063,283.64937257766724,FashionMNIST
pso,0.9198333333333332,0.9148,50,1504.5248093605042,1504.5248093605042,FashionMNIST
harmony_search,0.8296,0.8278,38,1986.7078456878662,2727.9115331172943,CIFAR10
ga,0.8284,0.8221,50,3979.7567982673645,3979.7567982673645,CIFAR10
random_search,0.8168,0.8064,37,2198.598357439041,2917.2694890499115,CIFAR10
aco,0.814,0.8137,28,1303.5987811088562,2369.052137851715,CIFAR10
pso,0.7984,0.7834,20,936.695383310318,2212.886194705963,CIFAR10
manual_search,0.798,0.7947,4,220.60260891914368,289.5068562030792,CIFAR10
ga,0.5022,0.5051,50,4320.230853796005,4320.230853796005,CIFAR100
random_search,0.499,0.5075,28,1683.8818929195404,2932.448144197464,CIFAR100
aco,0.488,0.4876,47,2525.4994320869446,2688.8176658153534,CIFAR100
pso,0.4816,0.4718,30,2094.590686559677,3889.935693025589,CIFAR100
harmony_search,0.4656,0.4761,47,2543.787614583969,2748.006732940674,CIFAR100
manual_search,0.4288,0.4328,2,84.41257691383362,285.6795644760132,CIFAR100
